Contenido,Título del video,Tiempo de publicación del video,Duración,Ingresos estimados (USD),Vistas,RPM (USD)
SmX6cM5chvA,"Maribel Bellapart, miembro del Consejo Directivo Fundación Bellapart","May 19, 2022",264,0,1,
FDp2na4qrEg,Discapacidad auditiva: La Dra. Quéliz destaca la importancia de la atención temprana,"Jul 12, 2024",640,0,1,0
fsEapv8eL74,"Historias de éxito, resiliencia y valor familiar - Faride Raful comparte su inspiración","Sep 28, 2024",51,0,2,0
W3AxNuq57bE,José Zapata - VP Ejecutivo - Grupo Humano : Semana de los Seguros,"May 13, 2021",367,0,2,0
1AtBVhE9Rt4,Carlos Flaquer - Viceministro de Zonas Francas y Regímenes Especiales - MICM,"Feb 9, 2021",391,0,1,0
8TdfQIzTUwA,Redescubriendo la arqueología  - Dra. Kathleen Martínez,"Dec 9, 2024",53,0,9,0
zm7Pi461wa0,Conciertos y economía: el negocio millonario detrás de la música en vivo,"Feb 4, 2025",59,0,6,0
iWz9XpphtV8,Gianna Franjul,"Sep 9, 2025",36,0,2,0
DJUGDJdYR4A,LOUDWING CEPEDA - KPMG DOMINICANA,"Mar 10, 2026",27,0,4,0
T6JWdWunkfo,Ley de Tabaco y Vapeo en Reino Unido: ¿El fin de una industria millonaria?,"Apr 22, 2026",98,0,7,0
S0KuvHUu4XY,Proyecto dominicano en peligro – Dra. Kathleen Martínez,"Dec 29, 2024",45,0,1,0
wJ9TqD2RyrI,Descubrimientos Asombrosos en Taposiris Magna – Dra. Kathleen Martínez,"Dec 27, 2024",48,0,11,
S77EFArpZVM,Sostenibilidad en empresas: ¿cómo hacerlo bien y hacerlo crecer?,"Mar 10, 2026",41,0,3,
hxXeIcvL9Ho,"Inmortaliza tu historia, la Importancia de Life Memories - Patricia Janiot","Oct 15, 2024",57,0,3,0
IudPT8NSCZI,Revista Mercado: The Best of DR 2024,"Aug 7, 2024",30,0,6,0
3JzXsll31uE,"Teotihuacán, escenario de tragedia: turismo, seguridad y riesgo en discusión","Apr 21, 2026",87,0,4,0
bNXTbNMOTDg,La honestidad y solidaridad en la gestión pública - Faride Raful,"Oct 14, 2024",42,0,1,0
aiVcDTPTlqA,Banco Popular refuerza su liderazgo en el financiamiento turístico en FITUR 2025,"Jan 26, 2025",138,0,1,0
OtJNwjbZSIc,El Nuevo Rol del CFO: Estrategia y Sostenibilidad,"Jan 4, 2025",36,0,2,0
fZ3Fch_fKt0,"Cerebro  Amor vs  Miedo, ¿Cuál Domina Tu Mente","Jun 8, 2025",71,0,1,0
RqsuGkuukCA,¡Mi familia y yo construimos un legado! Mira cómo lo hacemos,"Oct 28, 2025",27,0,2,
PEADmPDhYJA,Crecer Lab: La revolución del Audio Computing más allá del mundo digital,"Sep 18, 2024",48,0,1,0
dz5giCq2GzY,Pentraze: Mentalidad de Hacking es clave para la ciberseguridad estratégica,"Aug 19, 2024",54,0,2,0
xZBFit01QqI,Trump rechaza defender a Taiwan pero mantiene la relación comercial,"May 15, 2026",79,0,3,
msRapL7_blA,"Venezuela, un punto de inflexión para la diplomacia: John M. Barrett asume liderazgo","Apr 15, 2026",90,0,4,0
jzUhm6wpsV4,Crecer Lab: Entregas por drones revolucionando la República Dominicana,"Sep 19, 2024",22,0,3,0
z6opGpn6fDs,Zoemar: La ubicación es lo más importante,"Aug 14, 2024",45,0,1,0
bTNJuhfMi4M,"Autonomía económica: Clave para la igualdad de género - Mayra Jiménez, ministra de la Mujer","Nov 18, 2024",43,0,2,0
no9E8sLXS1s,Mercado en Fitur 2026 - Biviana Riveiro,"Jan 23, 2026",179,0,2,0
YXXIu56Ipmk,Carlos Liriano: liderar un legado familiar y transformar la industria gastronómica desde adentro,"Jul 27, 2025",354,0,1,0
a9AgUJ5J-r0,Petróleo roza los 120 dólares y las bolsas se desploman por guerra en Oriente Medio,"Mar 12, 2026",61,0,2,0
_k39nIxCmW4,¿Qué viene para Venezuela tras la caída de Maduro?,"Jan 7, 2026",43,0,1,0
gqnlcxk8g3k,Innovación y liderazgo joven en la política de republica dominicana - Omar Fernández,"Nov 12, 2024",47,0,7,0
VuCQJ-FWDjg,Legalidad vs Ilegalidad en la lucha por la justicia: Hernando De Soto,"Oct 29, 2024",27,0,2,0
QK1XM6qMPd0,"Transformación Digital en RD  Mentalidad, Nearshoring y Futuro","Jun 5, 2025",73,0,1,0
FgayW4eB_WI,"Rainier Mallol, Fundador y CEO de AIME","Jul 22, 2021",229,0,2,
84rLRdQR8u8,Abraham Hazoury - Power Talks,"Sep 15, 2020",981,0,2,0
y0YRZvG-sdY,Empoderando Mujeres desde el Mentoreo hasta el Congreso - Gloria Reyes Supérate,"Oct 21, 2024",39,0,4,0
DbpKndOr52E,SEDE: Oportunidades emergentes de inversión en la República Dominicana,"Nov 15, 2024",46,0,2,0
CJtB3BVHoBU,Inversiones exitosas en CAPCANA - Luis Velutini,"Dec 26, 2024",32,0,2,0
Ub59dfodKvU,"La guerra con Irán: Trump, la OTAN y la incertidumbre global","Apr 2, 2026",89,0,4,
xaNC8BMf9qQ,"Entrevista al ministro de hacienda, Donald Guerrero.","Mar 25, 2019",972,0,1,0
ccvcaXZEkrM,La historia de Life Memories y Patricia Janiot,"Oct 8, 2024",41,0,3,0
E7gSm7cb6NE,Cuida de tu piel con especialistas en dermatología - Isa Grupo,"Sep 16, 2024",27,0,2,0
6Y9EoLjmzAE,Zara rompe con su historia en España y toma una decisión sin precedentes,"Jan 19, 2026",31,0,2,0
krq-QaraqOk,Ministerio de Turismo de la República Dominicana,"Aug 2, 2019",31,0,7,0
oumEoIFHhiU,Productos innovadores para cuidado del cabello sin frizz,"Jan 8, 2025",26,0,1,0
7yDbDj9aGZ4,El gobierno de Donald Trump anució cierra total del espacio aéreo venezolano,"Dec 1, 2025",44,0,4,0
EIjiv2Vjvsc,Dentsu: Cómo innovamos en estrategias creativas para clientes,"Sep 18, 2024",33,0,1,0
SInY3vl9lIw,Empresas conocidas que se declararon en quiebra 2025: los casos más importantes,"Jan 24, 2026",41,0,2,0
UO-xla1Loq8,Aumento Salarial  Trabajadores y Sectores en Debate,"Jun 26, 2025",60,0,2,0
pHPkLm_vRU4,Trump y Xi  la reunión que pone a prueba el equilibrio mundial,"May 13, 2026",101,0,3,0
XZGJAeE6TJg,Tarifa eléctrica en aumento: petróleo y gas presionan los precios,"May 7, 2026",99,0,6,
Jt1PDOJgLz8,Cambio Climático en Latinoamérica: Andrés Felipe Sánchez - Climate Bonds Initiative,"Dec 4, 2024",41,0,1,0
izHlT-yutXw,US$700 millones: la proyección financiera de The Devil Wear Prada 2,"Apr 21, 2026",108,0,5,0
ju6-1OIT3KE,Cómo equilibrar decisiones a corto y largo plazo - José Nelton González,"Nov 10, 2024",29,0,2,0
0IqeEmiQNvc,COP-30: La República Dominicana y su papel clave,"Jan 10, 2025",52,0,1,0
h50tjI4GgtU,Ismail Ersahin: República Dominicana y el Nearshoring,"Aug 29, 2024",32,0,2,0
8ptOgiMxuJE,Dra Quéliz: Detección temprana de déficit auditivo en recién nacidos,"Sep 11, 2024",48,0,3,0
VviBs-4gyvQ,Miguel Arenas - ReOpen Hostelería,"Aug 17, 2020",390,0,1,0
